bucket,hand_id,decision_idx,verb_abs_pos,rel_pos,abs_pos,projection,token
clean_check_or_call,7ee803c6,5,336,-2,334,21.0532,action
clean_check_or_call,7ee803c6,5,336,-1,335,25.7968,""":"
clean_check_or_call,7ee803c6,5,336,0,336,32.2787," """
clean_check_or_call,7ee803c6,5,336,1,337,16.6557,CHECK
clean_check_or_call,7ee803c6,5,336,2,338,15.1562,_OR
clean_check_or_call,7ee803c6,7,352,-300,52,4.6775,Format
clean_check_or_call,7ee803c6,7,352,-200,152,6.2928,6
clean_check_or_call,7ee803c6,7,352,-100,252,-2.3733,"

"
clean_check_or_call,7ee803c6,7,352,-50,302,14.3402, bet
clean_check_or_call,7ee803c6,7,352,-20,332,8.8993, pot
clean_check_or_call,7ee803c6,7,352,-10,342,10.9528, not
clean_check_or_call,7ee803c6,7,352,-5,347,-3.5584,JSON
clean_check_or_call,7ee803c6,7,352,-2,350,17.5846,action
clean_check_or_call,7ee803c6,7,352,-1,351,18.2479,""":"
clean_check_or_call,7ee803c6,7,352,0,352,23.5264," """
clean_check_or_call,7ee803c6,7,352,1,353,13.1887,CHECK
clean_check_or_call,7ee803c6,7,352,2,354,12.7636,_OR
clean_check_or_call,7ee803c6,9,363,-300,63,15.5369,CHECK
clean_check_or_call,7ee803c6,9,363,-200,163,11.7485, Street
clean_check_or_call,7ee803c6,9,363,-100,263,4.9190,:
clean_check_or_call,7ee803c6,9,363,-50,313,9.5866,","
clean_check_or_call,7ee803c6,9,363,-20,343,17.8614, reasonable
clean_check_or_call,7ee803c6,9,363,-10,353,2.7546, without
clean_check_or_call,7ee803c6,9,363,-5,358,-2.5901,JSON
clean_check_or_call,7ee803c6,9,363,-2,361,18.1231,action
clean_check_or_call,7ee803c6,9,363,-1,362,21.7834,""":"
clean_check_or_call,7ee803c6,9,363,0,363,23.6563," """
clean_check_or_call,7ee803c6,9,363,1,364,14.5068,CHECK
clean_check_or_call,7ee803c6,9,363,2,365,11.6685,_OR
clean_check_or_call,11cc20a7,1,283,-200,83,4.4351, raised
clean_check_or_call,11cc20a7,1,283,-100,183,10.7729, actions
clean_check_or_call,11cc20a7,1,283,-50,233,20.4082, is
clean_check_or_call,11cc20a7,1,283,-20,263,26.6302, Checking
clean_check_or_call,11cc20a7,1,283,-10,273,7.0309, without
clean_check_or_call,11cc20a7,1,283,-5,278,-2.2821,JSON
clean_check_or_call,11cc20a7,1,283,-2,281,16.8154,action
clean_check_or_call,11cc20a7,1,283,-1,282,19.8967,""":"
clean_check_or_call,11cc20a7,1,283,0,283,27.6336," """
clean_check_or_call,11cc20a7,1,283,1,284,13.5374,CHECK
clean_check_or_call,11cc20a7,1,283,2,285,13.7594,_OR
clean_check_or_call,11cc20a7,2,324,-300,24,1.5928, RE
clean_check_or_call,11cc20a7,2,324,-200,124,3.6086,Current
clean_check_or_call,11cc20a7,2,324,-100,224,0.1088,<|im_end|>
clean_check_or_call,11cc20a7,2,324,-50,274,12.3187, no
clean_check_or_call,11cc20a7,2,324,-20,304,12.1835, the
clean_check_or_call,11cc20a7,2,324,-10,314,10.8487, have
clean_check_or_call,11cc20a7,2,324,-5,319,-2.6033,JSON
clean_check_or_call,11cc20a7,2,324,-2,322,20.1226,action
clean_check_or_call,11cc20a7,2,324,-1,323,15.2439,""":"
clean_check_or_call,11cc20a7,2,324,0,324,20.9005," """
clean_check_or_call,11cc20a7,2,324,1,325,20.3344,CHECK
clean_check_or_call,11cc20a7,2,324,2,326,18.9569,_OR
clean_check_or_call,11cc20a7,4,336,-300,36,12.6532, sentences
clean_check_or_call,11cc20a7,4,336,-200,136,10.8937,"
"
clean_check_or_call,11cc20a7,4,336,-100,236,1.2463," """
clean_check_or_call,11cc20a7,4,336,-50,286,7.3097,d
clean_check_or_call,11cc20a7,4,336,-20,316,12.3764, to
clean_check_or_call,11cc20a7,4,336,-10,326,16.8448, to
clean_check_or_call,11cc20a7,4,336,-5,331,-2.4983,JSON
clean_check_or_call,11cc20a7,4,336,-2,334,16.7193,action
clean_check_or_call,11cc20a7,4,336,-1,335,16.3222,""":"
clean_check_or_call,11cc20a7,4,336,0,336,17.1522," """
clean_check_or_call,11cc20a7,4,336,1,337,11.6492,CHECK
clean_check_or_call,11cc20a7,4,336,2,338,10.9039,_OR
clean_check_or_call,11cc20a7,5,336,-300,36,12.6532, sentences
clean_check_or_call,11cc20a7,5,336,-200,136,10.8937,"
"
clean_check_or_call,11cc20a7,5,336,-100,236,2.2033,"""}"
clean_check_or_call,11cc20a7,5,336,-50,286,6.7552,d
clean_check_or_call,11cc20a7,5,336,-20,316,17.2567, continue
clean_check_or_call,11cc20a7,5,336,-10,326,9.2590, and
clean_check_or_call,11cc20a7,5,336,-5,331,-2.9203,JSON
clean_check_or_call,11cc20a7,5,336,-2,334,5.3410,action
clean_check_or_call,11cc20a7,5,336,-1,335,4.8738,""":"
clean_check_or_call,11cc20a7,5,336,0,336,6.1664," """
clean_check_or_call,11cc20a7,5,336,1,337,17.2537,CHECK
clean_check_or_call,11cc20a7,5,336,2,338,17.0667,_OR
clean_check_or_call,b3200c86,3,302,-300,2,9.4830,"
"
clean_check_or_call,b3200c86,3,302,-200,102,11.4718, draw
clean_check_or_call,b3200c86,3,302,-100,202,15.6671,:
clean_check_or_call,b3200c86,3,302,-50,252,14.6905, a
clean_check_or_call,b3200c86,3,302,-20,282,7.5182, action
clean_check_or_call,b3200c86,3,302,-10,292,5.7731, see
clean_check_or_call,b3200c86,3,302,-5,297,-2.1975,JSON
clean_check_or_call,b3200c86,3,302,-2,300,16.3836,action
clean_check_or_call,b3200c86,3,302,-1,301,19.7266,""":"
clean_check_or_call,b3200c86,3,302,0,302,24.4381," """
clean_check_or_call,b3200c86,3,302,1,303,14.2510,CHECK
clean_check_or_call,b3200c86,3,302,2,304,11.7131,_OR
clean_check_or_call,b3200c86,4,338,-300,38,8.5812,Then
clean_check_or_call,b3200c86,4,338,-200,138,8.7468,"
"
clean_check_or_call,b3200c86,4,338,-100,238,7.5802," """
clean_check_or_call,b3200c86,4,338,-50,288,11.0943, a
clean_check_or_call,b3200c86,4,338,-20,318,9.7937, my
clean_check_or_call,b3200c86,4,338,-10,328,18.3847, to
clean_check_or_call,b3200c86,4,338,-5,333,-2.5035,JSON
clean_check_or_call,b3200c86,4,338,-2,336,15.4459,action
clean_check_or_call,b3200c86,4,338,-1,337,20.8820,""":"
clean_check_or_call,b3200c86,4,338,0,338,25.1375," """
clean_check_or_call,b3200c86,4,338,1,339,13.6700,CHECK
clean_check_or_call,b3200c86,4,338,2,340,11.9224,_OR
clean_check_or_call,b3200c86,6,329,-300,29,5.5746, by
clean_check_or_call,b3200c86,6,329,-200,129,1.5570, Your
clean_check_or_call,b3200c86,6,329,-100,229,0.0693, Provide
clean_check_or_call,b3200c86,6,329,-50,279,4.5492,4
clean_check_or_call,b3200c86,6,329,-20,309,11.7685, no
clean_check_or_call,b3200c86,6,329,-10,319,17.5250, to
clean_check_or_call,b3200c86,6,329,-5,324,-2.4963,JSON
clean_check_or_call,b3200c86,6,329,-2,327,15.9282,action
clean_check_or_call,b3200c86,6,329,-1,328,17.4509,""":"
clean_check_or_call,b3200c86,6,329,0,329,23.2027," """
clean_check_or_call,b3200c86,6,329,1,330,14.9501,CHECK
clean_check_or_call,b3200c86,6,329,2,331,12.7683,_OR
clean_check_or_call,e668c466,1,285,-200,85,5.1119,lop
clean_check_or_call,e668c466,1,285,-100,185,10.6730,":
"
clean_check_or_call,e668c466,1,285,-50,235,11.0652, no
clean_check_or_call,e668c466,1,285,-20,265,26.6359, Checking
clean_check_or_call,e668c466,1,285,-10,275,7.1177, without
clean_check_or_call,e668c466,1,285,-5,280,-2.2781,JSON
clean_check_or_call,e668c466,1,285,-2,283,16.5589,action
clean_check_or_call,e668c466,1,285,-1,284,19.5661,""":"
clean_check_or_call,e668c466,1,285,0,285,27.4939," """
clean_check_or_call,e668c466,1,285,1,286,13.4958,CHECK
clean_check_or_call,e668c466,1,285,2,287,13.3449,_OR
clean_check_or_call,e668c466,6,339,-300,39,1.8605, write
clean_check_or_call,e668c466,6,339,-200,139,12.7376, Board
clean_check_or_call,e668c466,6,339,-100,239,0.7586,YOUR
clean_check_or_call,e668c466,6,339,-50,289,14.6294, or
clean_check_or_call,e668c466,6,339,-20,319,14.4186, already
clean_check_or_call,e668c466,6,339,-10,329,20.6539, to
clean_check_or_call,e668c466,6,339,-5,334,-2.3091,JSON
clean_check_or_call,e668c466,6,339,-2,337,15.8940,action
clean_check_or_call,e668c466,6,339,-1,338,22.7201,""":"
clean_check_or_call,e668c466,6,339,0,339,28.3516," """
clean_check_or_call,e668c466,6,339,1,340,13.4653,CHECK
clean_check_or_call,e668c466,6,339,2,341,12.6818,_OR
clean_check_or_call,e668c466,10,363,-300,63,15.5369,CHECK
clean_check_or_call,e668c466,10,363,-200,163,9.4105,-
clean_check_or_call,e668c466,10,363,-100,263,4.5261," {"""
clean_check_or_call,e668c466,10,363,-50,313,18.5059, draw
clean_check_or_call,e668c466,10,363,-20,343,13.0824, the
clean_check_or_call,e668c466,10,363,-10,353,16.5058, to
clean_check_or_call,e668c466,10,363,-5,358,-1.7898,JSON
clean_check_or_call,e668c466,10,363,-2,361,14.3061,action
clean_check_or_call,e668c466,10,363,-1,362,19.6114,""":"
clean_check_or_call,e668c466,10,363,0,363,23.0033," """
clean_check_or_call,e668c466,10,363,1,364,11.9299,CHECK
clean_check_or_call,e668c466,10,363,2,365,9.5175,_OR
clean_check_or_call,c90b78c7,1,283,-200,83,4.4351, raised
clean_check_or_call,c90b78c7,1,283,-100,183,10.7148, actions
clean_check_or_call,c90b78c7,1,283,-50,233,20.5168, is
clean_check_or_call,c90b78c7,1,283,-20,263,26.5499, Checking
clean_check_or_call,c90b78c7,1,283,-10,273,6.8353, without
clean_check_or_call,c90b78c7,1,283,-5,278,-2.3681,JSON
clean_check_or_call,c90b78c7,1,283,-2,281,16.7087,action
clean_check_or_call,c90b78c7,1,283,-1,282,20.2969,""":"
clean_check_or_call,c90b78c7,1,283,0,283,27.3155," """
clean_check_or_call,c90b78c7,1,283,1,284,13.5038,CHECK
clean_check_or_call,c90b78c7,1,283,2,285,13.6921,_OR
clean_check_or_call,c90b78c7,2,332,-300,32,9.1938, (
clean_check_or_call,c90b78c7,2,332,-200,132,6.7756, Th
clean_check_or_call,c90b78c7,2,332,-100,232,8.1139,ASON
clean_check_or_call,c90b78c7,2,332,-50,282,9.2450, a
clean_check_or_call,c90b78c7,2,332,-20,312,26.7137, 
clean_check_or_call,c90b78c7,2,332,-10,322,24.2940, to
clean_check_or_call,c90b78c7,2,332,-5,327,-2.4379,JSON
clean_check_or_call,c90b78c7,2,332,-2,330,18.5706,action
clean_check_or_call,c90b78c7,2,332,-1,331,18.9336,""":"
clean_check_or_call,c90b78c7,2,332,0,332,25.5268," """
clean_check_or_call,c90b78c7,2,332,1,333,14.5292,CHECK
clean_check_or_call,c90b78c7,2,332,2,334,13.6082,_OR
clean_check_or_call,c90b78c7,4,332,-300,32,9.1938, (
clean_check_or_call,c90b78c7,4,332,-200,132,6.7756, Th
clean_check_or_call,c90b78c7,4,332,-100,232,7.2719,action
clean_check_or_call,c90b78c7,4,332,-50,282,19.1906, a
clean_check_or_call,c90b78c7,4,332,-20,312,13.3385,","
clean_check_or_call,c90b78c7,4,332,-10,322,3.3031, how
clean_check_or_call,c90b78c7,4,332,-5,327,-2.3793,JSON
clean_check_or_call,c90b78c7,4,332,-2,330,17.4505,action
clean_check_or_call,c90b78c7,4,332,-1,331,20.3798,""":"
clean_check_or_call,c90b78c7,4,332,0,332,20.9906," """
clean_check_or_call,c90b78c7,4,332,1,333,13.7789,CHECK
clean_check_or_call,c90b78c7,4,332,2,334,10.5601,_OR
clean_check_or_call,4f0efb39,1,285,-200,85,5.1119,lop
clean_check_or_call,4f0efb39,1,285,-100,185,10.7726,":
"
clean_check_or_call,4f0efb39,1,285,-50,235,10.9898, no
clean_check_or_call,4f0efb39,1,285,-20,265,26.3282, Checking
clean_check_or_call,4f0efb39,1,285,-10,275,6.8976, without
clean_check_or_call,4f0efb39,1,285,-5,280,-2.2167,JSON
clean_check_or_call,4f0efb39,1,285,-2,283,16.5089,action
clean_check_or_call,4f0efb39,1,285,-1,284,19.8165,""":"
clean_check_or_call,4f0efb39,1,285,0,285,26.8488," """
clean_check_or_call,4f0efb39,1,285,1,286,13.2607,CHECK
clean_check_or_call,4f0efb39,1,285,2,287,13.2352,_OR
clean_check_or_call,4f0efb39,2,310,-300,10,7.5593,ze
clean_check_or_call,4f0efb39,2,310,-200,110,1.8767,JSON
clean_check_or_call,4f0efb39,2,310,-100,210,3.1853, then
clean_check_or_call,4f0efb39,2,310,-50,260,8.3179,d
clean_check_or_call,4f0efb39,2,310,-20,290,15.0093, decent
clean_check_or_call,4f0efb39,2,310,-10,300,10.2811, beneficial
clean_check_or_call,4f0efb39,2,310,-5,305,-3.2010,JSON
clean_check_or_call,4f0efb39,2,310,-2,308,13.2816,action
clean_check_or_call,4f0efb39,2,310,-1,309,7.1511,""":"
clean_check_or_call,4f0efb39,2,310,0,310,14.3314," """
clean_check_or_call,4f0efb39,2,310,1,311,14.5757,CHECK
clean_check_or_call,4f0efb39,2,310,2,312,16.7631,_OR
clean_check_or_call,e70ecc70,1,283,-200,83,4.4351, raised
clean_check_or_call,e70ecc70,1,283,-100,183,10.8711, actions
clean_check_or_call,e70ecc70,1,283,-50,233,20.4185, is
clean_check_or_call,e70ecc70,1,283,-20,263,26.4192, Checking
clean_check_or_call,e70ecc70,1,283,-10,273,6.8815, without
clean_check_or_call,e70ecc70,1,283,-5,278,-2.2347,JSON
clean_check_or_call,e70ecc70,1,283,-2,281,17.0519,action
clean_check_or_call,e70ecc70,1,283,-1,282,19.7045,""":"
clean_check_or_call,e70ecc70,1,283,0,283,27.5079," """
clean_check_or_call,e70ecc70,1,283,1,284,13.5498,CHECK
clean_check_or_call,e70ecc70,1,283,2,285,13.7878,_OR
clean_check_or_call,e70ecc70,2,325,-300,25,-1.1165,ASON
clean_check_or_call,e70ecc70,2,325,-200,125,2.7563, poker
clean_check_or_call,e70ecc70,2,325,-100,225,7.2975,"
"
clean_check_or_call,e70ecc70,2,325,-50,275,7.4257, pair
clean_check_or_call,e70ecc70,2,325,-20,305,10.2520, low
clean_check_or_call,e70ecc70,2,325,-10,315,23.5546, is
clean_check_or_call,e70ecc70,2,325,-5,320,-1.9583,JSON
clean_check_or_call,e70ecc70,2,325,-2,323,18.9130,action
clean_check_or_call,e70ecc70,2,325,-1,324,20.3240,""":"
clean_check_or_call,e70ecc70,2,325,0,325,27.9089," """
clean_check_or_call,e70ecc70,2,325,1,326,14.7219,CHECK
clean_check_or_call,e70ecc70,2,325,2,327,14.9791,_OR
clean_check_or_call,e70ecc70,4,333,-300,33,13.8715,2
clean_check_or_call,e70ecc70,4,333,-200,133,7.3543, 
clean_check_or_call,e70ecc70,4,333,-100,233,4.5640," {"""
clean_check_or_call,e70ecc70,4,333,-50,283,0.2087,6
clean_check_or_call,e70ecc70,4,333,-20,313,18.1787,","
clean_check_or_call,e70ecc70,4,333,-10,323,8.2611, and
clean_check_or_call,e70ecc70,4,333,-5,328,-2.3320,JSON
clean_check_or_call,e70ecc70,4,333,-2,331,17.3198,action
clean_check_or_call,e70ecc70,4,333,-1,332,13.5855,""":"
clean_check_or_call,e70ecc70,4,333,0,333,14.4166," """
clean_check_or_call,e70ecc70,4,333,1,334,15.2906,CHECK
clean_check_or_call,e70ecc70,4,333,2,335,12.1982,_OR
clean_check_or_call,e70ecc70,7,346,-300,46,9.2065, JSON
clean_check_or_call,e70ecc70,7,346,-200,146,10.1108, 
clean_check_or_call,e70ecc70,7,346,-100,246,-0.6517,<|im_end|>
clean_check_or_call,e70ecc70,7,346,-50,296,15.8129, to
clean_check_or_call,e70ecc70,7,346,-20,326,18.5561, action
clean_check_or_call,e70ecc70,7,346,-10,336,8.8788, let
clean_check_or_call,e70ecc70,7,346,-5,341,-3.1449,JSON
clean_check_or_call,e70ecc70,7,346,-2,344,17.2758,action
clean_check_or_call,e70ecc70,7,346,-1,345,19.0023,""":"
clean_check_or_call,e70ecc70,7,346,0,346,23.9131," """
clean_check_or_call,e70ecc70,7,346,1,347,14.3516,CHECK
clean_check_or_call,e70ecc70,7,346,2,348,12.7726,_OR
clean_check_or_call,c6562698,5,341,-300,41,8.9842,:
clean_check_or_call,c6562698,5,341,-200,141,7.5578,d
clean_check_or_call,c6562698,5,341,-100,241,4.9407," {"""
clean_check_or_call,c6562698,5,341,-50,291,15.2625, straight
clean_check_or_call,c6562698,5,341,-20,321,17.0372, aggressive
clean_check_or_call,c6562698,5,341,-10,331,19.4786, to
clean_check_or_call,c6562698,5,341,-5,336,-2.2484,JSON
clean_check_or_call,c6562698,5,341,-2,339,14.5016,action
clean_check_or_call,c6562698,5,341,-1,340,21.1710,""":"
clean_check_or_call,c6562698,5,341,0,341,25.7641," """
clean_check_or_call,c6562698,5,341,1,342,12.9863,CHECK
clean_check_or_call,c6562698,5,341,2,343,11.9305,_OR
clean_check_or_call,c6562698,7,375,-300,75,4.5763,Example
clean_check_or_call,c6562698,7,375,-200,175,-8.8753,OLD
clean_check_or_call,c6562698,7,375,-100,275,-3.7254,RE
clean_check_or_call,c6562698,7,375,-50,325,12.6133, suggests
clean_check_or_call,c6562698,7,375,-20,355,5.6747, have
clean_check_or_call,c6562698,7,375,-10,365,11.6579, pot
clean_check_or_call,c6562698,7,375,-5,370,-2.7383,JSON
clean_check_or_call,c6562698,7,375,-2,373,17.3208,action
clean_check_or_call,c6562698,7,375,-1,374,15.9006,""":"
clean_check_or_call,c6562698,7,375,0,375,19.3619," """
clean_check_or_call,c6562698,7,375,1,376,16.6204,CHECK
clean_check_or_call,c6562698,7,375,2,377,10.6855,_OR
clean_check_or_call,480983ce,1,284,-200,84,7.7007, pref
clean_check_or_call,480983ce,1,284,-100,184,10.8384,":
"
clean_check_or_call,480983ce,1,284,-50,234,11.3871, no
clean_check_or_call,480983ce,1,284,-20,264,26.8075, Checking
clean_check_or_call,480983ce,1,284,-10,274,7.1651, without
clean_check_or_call,480983ce,1,284,-5,279,-2.2235,JSON
clean_check_or_call,480983ce,1,284,-2,282,16.7927,action
clean_check_or_call,480983ce,1,284,-1,283,20.5611,""":"
clean_check_or_call,480983ce,1,284,0,284,27.3921," """
clean_check_or_call,480983ce,1,284,1,285,13.5739,CHECK
clean_check_or_call,480983ce,1,284,2,286,13.2639,_OR
clean_check_or_call,4d3e28cf,1,283,-200,83,4.4351, raised
clean_check_or_call,4d3e28cf,1,283,-100,183,10.7868, actions
clean_check_or_call,4d3e28cf,1,283,-50,233,20.5960, is
clean_check_or_call,4d3e28cf,1,283,-20,263,26.4841, Checking
clean_check_or_call,4d3e28cf,1,283,-10,273,6.9352, without
clean_check_or_call,4d3e28cf,1,283,-5,278,-2.1398,JSON
clean_check_or_call,4d3e28cf,1,283,-2,281,16.6800,action
clean_check_or_call,4d3e28cf,1,283,-1,282,19.6337,""":"
clean_check_or_call,4d3e28cf,1,283,0,283,27.1597," """
clean_check_or_call,4d3e28cf,1,283,1,284,13.3731,CHECK
clean_check_or_call,4d3e28cf,1,283,2,285,13.7493,_OR
clean_check_or_call,8bbddbbe,1,287,-200,87,13.1030, bet
clean_check_or_call,8bbddbbe,1,287,-100,187,8.3354, 
clean_check_or_call,8bbddbbe,1,287,-50,237,15.7492, bet
clean_check_or_call,8bbddbbe,1,287,-20,267,26.4443, Checking
clean_check_or_call,8bbddbbe,1,287,-10,277,7.1577, without
clean_check_or_call,8bbddbbe,1,287,-5,282,-2.2430,JSON
clean_check_or_call,8bbddbbe,1,287,-2,285,16.2232,action
clean_check_or_call,8bbddbbe,1,287,-1,286,19.5459,""":"
clean_check_or_call,8bbddbbe,1,287,0,287,27.5435," """
clean_check_or_call,8bbddbbe,1,287,1,288,13.1535,CHECK
clean_check_or_call,8bbddbbe,1,287,2,289,13.4253,_OR
clean_check_or_call,9725ef71,1,284,-200,84,7.7007, pref
clean_check_or_call,9725ef71,1,284,-100,184,10.8382,":
"
clean_check_or_call,9725ef71,1,284,-50,234,10.9485, no
clean_check_or_call,9725ef71,1,284,-20,264,26.5663, Checking
clean_check_or_call,9725ef71,1,284,-10,274,6.9130, without
clean_check_or_call,9725ef71,1,284,-5,279,-2.3042,JSON
clean_check_or_call,9725ef71,1,284,-2,282,16.5400,action
clean_check_or_call,9725ef71,1,284,-1,283,19.5637,""":"
clean_check_or_call,9725ef71,1,284,0,284,27.0488," """
clean_check_or_call,9725ef71,1,284,1,285,13.2139,CHECK
clean_check_or_call,9725ef71,1,284,2,286,13.1691,_OR
clean_check_or_call,4ea6573a,1,300,-300,0,1287.3883,<|im_start|>
clean_check_or_call,4ea6573a,1,300,-200,100,7.7333, with
clean_check_or_call,4ea6573a,1,300,-100,200,4.2156, reasoning
clean_check_or_call,4ea6573a,1,300,-50,250,14.3411, cards
clean_check_or_call,4ea6573a,1,300,-20,280,27.5204, a
clean_check_or_call,4ea6573a,1,300,-10,290,9.3881, the
clean_check_or_call,4ea6573a,1,300,-5,295,-1.7820,JSON
clean_check_or_call,4ea6573a,1,300,-2,298,17.9638,action
clean_check_or_call,4ea6573a,1,300,-1,299,25.7707,""":"
clean_check_or_call,4ea6573a,1,300,0,300,30.7203," """
clean_check_or_call,4ea6573a,1,300,1,301,14.3204,CHECK
clean_check_or_call,4ea6573a,1,300,2,302,13.4661,_OR
clean_check_or_call,4ea6573a,2,327,-300,27,1.8635,:
clean_check_or_call,4ea6573a,2,327,-200,127,4.4568,":
"
clean_check_or_call,4ea6573a,2,327,-100,227,-1.9335,"
"
clean_check_or_call,4ea6573a,2,327,-50,277,5.2328, enough
clean_check_or_call,4ea6573a,2,327,-20,307,23.6750, again
clean_check_or_call,4ea6573a,2,327,-10,317,5.4658, committing
clean_check_or_call,4ea6573a,2,327,-5,322,-2.2726,JSON
clean_check_or_call,4ea6573a,2,327,-2,325,18.9033,action
clean_check_or_call,4ea6573a,2,327,-1,326,21.3241,""":"
clean_check_or_call,4ea6573a,2,327,0,327,28.0199," """
clean_check_or_call,4ea6573a,2,327,1,328,14.0157,CHECK
clean_check_or_call,4ea6573a,2,327,2,329,13.2700,_OR
clean_check_or_call,c0bac81a,1,283,-200,83,4.4351, raised
clean_check_or_call,c0bac81a,1,283,-100,183,10.7850, actions
clean_check_or_call,c0bac81a,1,283,-50,233,20.3801, is
clean_check_or_call,c0bac81a,1,283,-20,263,13.2883, high
clean_check_or_call,c0bac81a,1,283,-10,273,23.6616, to
clean_check_or_call,c0bac81a,1,283,-5,278,-1.9534,JSON
clean_check_or_call,c0bac81a,1,283,-2,281,18.3002,action
clean_check_or_call,c0bac81a,1,283,-1,282,23.2049,""":"
clean_check_or_call,c0bac81a,1,283,0,283,29.7389," """
clean_check_or_call,c0bac81a,1,283,1,284,14.9032,CHECK
clean_check_or_call,c0bac81a,1,283,2,285,14.3337,_OR
clean_check_or_call,60fe9303,3,306,-300,6,8.5475, poker
clean_check_or_call,60fe9303,3,306,-200,106,-15.3696, folding
clean_check_or_call,60fe9303,3,306,-100,206,-1.8287, Opp
clean_check_or_call,60fe9303,3,306,-50,256,4.0270, they
clean_check_or_call,60fe9303,3,306,-20,286,7.6494, large
clean_check_or_call,60fe9303,3,306,-10,296,17.6802, to
clean_check_or_call,60fe9303,3,306,-5,301,-3.0128,JSON
clean_check_or_call,60fe9303,3,306,-2,304,13.5861,action
clean_check_or_call,60fe9303,3,306,-1,305,18.4161,""":"
clean_check_or_call,60fe9303,3,306,0,306,21.3119," """
clean_check_or_call,60fe9303,3,306,1,307,12.5736,CHECK
clean_check_or_call,60fe9303,3,306,2,308,9.4738,_OR
clean_check_or_call,60fe9303,6,315,-300,15,10.9317,-step
clean_check_or_call,60fe9303,6,315,-200,115,-24.8989," """
clean_check_or_call,60fe9303,6,315,-100,215,9.7069, 
clean_check_or_call,60fe9303,6,315,-50,265,3.1456,d
clean_check_or_call,60fe9303,6,315,-20,295,17.2215,'s
clean_check_or_call,60fe9303,6,315,-10,305,20.6285, the
clean_check_or_call,60fe9303,6,315,-5,310,-2.3635,JSON
clean_check_or_call,60fe9303,6,315,-2,313,14.9588,action
clean_check_or_call,60fe9303,6,315,-1,314,19.4942,""":"
clean_check_or_call,60fe9303,6,315,0,315,26.9413," """
clean_check_or_call,60fe9303,6,315,1,316,12.8159,CHECK
clean_check_or_call,60fe9303,6,315,2,317,11.1688,_OR
clean_check_or_call,60fe9303,8,325,-300,25,-1.1165,ASON
clean_check_or_call,60fe9303,8,325,-200,125,2.7563, poker
clean_check_or_call,60fe9303,8,325,-100,225,-0.1991, your
clean_check_or_call,60fe9303,8,325,-50,275,11.5751, gives
clean_check_or_call,60fe9303,8,325,-20,305,8.0945, hand
clean_check_or_call,60fe9303,8,325,-10,315,18.6987, to
