target_idx,hand_id,decision_idx,tok_start_legal,tok_end_legal,n_tokens_masked,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
12,58c0a3ea,4,196,211,15,baseline,35616,CHECK,CHECK_CALL,11.0022,28.1272,17.1250,14.2512
12,58c0a3ea,4,196,211,15,masked,35616,CHECK,CHECK_CALL,-1.6520,26.3502,17.0001,15.3999
13,25d11520,2,197,208,11,baseline,35616,CHECK,CHECK_CALL,4.7637,24.7644,20.0006,23.0084
13,25d11520,2,197,208,11,masked,35616,CHECK,CHECK_CALL,-1.7092,22.8053,19.7508,18.3949
14,715325f5,4,197,212,15,baseline,35616,CHECK,CHECK_CALL,11.0036,27.7536,16.7500,13.9908
14,715325f5,4,197,212,15,masked,35616,CHECK,CHECK_CALL,-1.8475,25.5312,16.3751,14.9918
15,74b820aa,5,194,205,11,baseline,35616,CHECK,CHECK_CALL,9.2797,27.1548,17.8751,20.8762
15,74b820aa,5,194,205,11,masked,35616,CHECK,CHECK_CALL,-1.0548,25.4753,17.2504,16.0771
16,1c6ccc0b,1,194,209,15,baseline,35616,CHECK,CHECK_CALL,11.2521,28.2522,17.0000,13.1125
16,1c6ccc0b,1,194,209,15,masked,35616,CHECK,CHECK_CALL,-1.1523,26.4752,16.3754,14.0803
17,98a09acd,1,192,207,15,baseline,35616,CHECK,CHECK_CALL,11.1285,27.8786,16.7501,13.4526
17,98a09acd,1,192,207,15,masked,35616,CHECK,CHECK_CALL,-0.7663,25.9879,15.6257,13.9988
18,aacd55bf,1,193,208,15,baseline,35616,CHECK,CHECK_CALL,10.8781,27.8782,17.0001,13.8359
18,aacd55bf,1,193,208,15,masked,35616,CHECK,CHECK_CALL,-0.9860,25.8927,16.0006,14.4812
19,0487fb44,2,200,211,11,baseline,35616,CHECK,CHECK_CALL,11.4485,27.3861,15.9376,15.3738
19,0487fb44,2,200,211,11,masked,35616,CHECK,CHECK_CALL,-2.3359,25.6129,16.5003,14.6207
20,6e6d4aa3,1,193,208,15,baseline,35616,CHECK,CHECK_CALL,11.2551,27.8802,16.6251,13.7109
20,6e6d4aa3,1,193,208,15,masked,35616,CHECK,CHECK_CALL,-1.2538,25.6270,15.6257,14.3114
21,78d8c173,7,199,210,11,baseline,35616,CHECK,CHECK_CALL,6.3776,24.5026,18.1250,23.6254
21,78d8c173,7,199,210,11,masked,35616,CHECK,CHECK_CALL,0.2516,23.2543,16.6251,17.4248
22,eb90fd2f,4,200,215,15,baseline,35616,CHECK,CHECK_CALL,13.6880,28.8756,15.1876,12.7350
22,eb90fd2f,4,200,215,15,masked,35616,CHECK,CHECK_CALL,-2.0426,27.8956,16.2501,14.4727
23,b09a54c9,1,194,209,15,baseline,35616,CHECK,CHECK_CALL,10.8795,27.8796,17.0001,13.5274
23,b09a54c9,1,194,209,15,masked,35616,CHECK,CHECK_CALL,-1.8043,25.4511,16.3758,14.2739
24,c52fc7fd,7,199,210,11,baseline,35616,CHECK,CHECK_CALL,10.7660,27.3910,16.6251,16.8890
24,c52fc7fd,7,199,210,11,masked,35616,CHECK,CHECK_CALL,-2.1657,25.1005,16.5001,15.2534
25,6bd743e1,2,196,207,11,baseline,35616,CHECK,CHECK_CALL,11.6325,27.7576,16.1251,15.8537
25,6bd743e1,2,196,207,11,masked,35616,CHECK,CHECK_CALL,-2.1576,25.9752,16.5003,14.7652
26,f217583d,4,197,212,15,baseline,35616,CHECK,CHECK_CALL,12.8759,28.6259,15.7500,13.0180
26,f217583d,4,197,212,15,masked,35616,CHECK,CHECK_CALL,-1.9221,26.9539,16.0001,14.2872
27,67d4ebbd,5,199,210,11,baseline,35616,CHECK,CHECK_CALL,11.1249,27.0000,15.8751,15.4915
27,67d4ebbd,5,199,210,11,masked,35616,CHECK,CHECK_CALL,-0.1881,25.5001,14.5632,13.4508
28,c52fc7fd,1,194,209,15,baseline,35616,CHECK,CHECK_CALL,11.1290,28.0041,16.8751,13.4653
28,c52fc7fd,1,194,209,15,masked,26502,CALL,CHECK_CALL,-1.8117,25.4433,16.1260,14.3790
29,b09a54c9,4,198,213,15,baseline,35616,CHECK,CHECK_CALL,9.9999,27.3750,17.3751,13.6342
29,b09a54c9,4,198,213,15,masked,35616,CHECK,CHECK_CALL,0.3116,25.7500,15.4385,13.6966
30,4294134d,1,194,205,11,baseline,35616,CHECK,CHECK_CALL,9.5428,27.0430,17.5002,16.2247
30,4294134d,1,194,205,11,masked,35616,CHECK,CHECK_CALL,-1.6806,25.4879,17.6256,15.2781
31,4671eec7,4,195,210,15,baseline,35616,CHECK,CHECK_CALL,11.3769,27.8769,16.5000,13.7185
31,4671eec7,4,195,210,15,masked,35616,CHECK,CHECK_CALL,-2.1251,25.7520,16.5002,14.8790
32,80a6c584,1,193,204,11,baseline,35616,CHECK,CHECK_CALL,9.4234,26.9236,17.5002,16.4601
32,80a6c584,1,193,204,11,masked,35616,CHECK,CHECK_CALL,-1.4062,25.6427,17.6255,15.3496
33,14b8c8df,1,195,210,15,baseline,35616,CHECK,CHECK_CALL,11.3774,27.8775,16.5001,13.3746
33,14b8c8df,1,195,210,15,masked,35616,CHECK,CHECK_CALL,-1.8467,25.7812,16.2506,14.3679
34,94de7df5,2,199,210,11,baseline,35616,CHECK,CHECK_CALL,5.0108,24.8862,19.8754,23.1344
34,94de7df5,2,199,210,11,masked,35616,CHECK,CHECK_CALL,-1.3432,23.0433,19.3758,18.6312
35,13ddbf35,5,200,211,11,baseline,35616,CHECK,CHECK_CALL,10.7610,27.7611,17.0000,17.1401
35,13ddbf35,5,200,211,11,masked,35616,CHECK,CHECK_CALL,-2.1847,25.4515,16.8751,15.6876
36,92006cc8,3,191,206,15,baseline,35616,CHECK,CHECK_CALL,9.7586,27.3836,17.6251,13.8483
36,92006cc8,3,191,206,15,masked,26502,CALL,CHECK_CALL,-2.3662,24.5178,17.1255,14.0246
37,ba2be11d,4,197,212,15,baseline,35616,CHECK,CHECK_CALL,10.7524,27.8775,17.1251,14.1122
37,ba2be11d,4,197,212,15,masked,35616,CHECK,CHECK_CALL,-2.0274,25.9752,17.2502,15.2784
38,35425b54,2,199,210,11,baseline,35616,CHECK,CHECK_CALL,8.7498,26.8751,18.1252,19.8828
38,35425b54,2,199,210,11,masked,35616,CHECK,CHECK_CALL,-0.2502,25.8751,17.3755,16.1525
39,4671eec7,1,191,206,15,baseline,35616,CHECK,CHECK_CALL,11.7540,28.1291,16.3751,13.4365
39,4671eec7,1,191,206,15,masked,35616,CHECK,CHECK_CALL,-1.6554,25.7242,15.6255,14.3084
40,d3f118ee,1,193,204,11,baseline,33,B,BET_RAISE,7.1252,24.8754,17.7502,25.7502
40,d3f118ee,1,193,204,11,masked,35616,CHECK,CHECK_CALL,0.9998,24.6254,16.5003,20.9352
41,452110d5,1,194,209,15,baseline,35616,CHECK,CHECK_CALL,11.0045,27.8796,16.8751,13.5152
41,452110d5,1,194,209,15,masked,26502,CALL,CHECK_CALL,-1.6873,25.4433,16.1261,14.4079
42,14b8c8df,5,199,210,11,baseline,35616,CHECK,CHECK_CALL,8.7499,27.1250,18.3751,19.8786
42,14b8c8df,5,199,210,11,masked,35616,CHECK,CHECK_CALL,-0.2503,25.6251,17.1255,15.1997
43,e5eaf376,8,200,211,11,baseline,35616,CHECK,CHECK_CALL,9.7705,27.1456,17.3750,17.2631
43,e5eaf376,8,200,211,11,masked,35616,CHECK,CHECK_CALL,-2.0920,24.4288,16.7503,14.9138
44,16f55a42,2,198,209,11,baseline,35616,CHECK,CHECK_CALL,9.6372,27.1375,17.5003,16.9621
44,16f55a42,2,198,209,11,masked,35616,CHECK,CHECK_CALL,-0.7250,26.0381,17.1258,15.5825
45,92006cc8,8,196,211,15,baseline,35616,CHECK,CHECK_CALL,3.4238,24.1739,20.7501,21.8885
45,92006cc8,8,196,211,15,masked,35616,CHECK,CHECK_CALL,-0.1426,22.5318,19.2506,18.7167
46,3aa69149,1,193,208,15,baseline,35616,CHECK,CHECK_CALL,10.5046,27.7546,17.2501,13.9411
46,3aa69149,1,193,208,15,masked,35616,CHECK,CHECK_CALL,-0.9504,25.6798,16.1256,14.5276
47,7d0d7a64,1,195,206,11,baseline,35616,CHECK,CHECK_CALL,10.5545,26.9299,16.3754,15.2172
47,7d0d7a64,1,195,206,11,masked,26502,CALL,CHECK_CALL,-2.3764,24.8039,16.6258,14.8477
48,a065a3cb,1,193,208,15,baseline,35616,CHECK,CHECK_CALL,11.3777,28.0028,16.6251,13.5588
48,a065a3cb,1,193,208,15,masked,35616,CHECK,CHECK_CALL,-0.8407,26.1002,15.5632,14.0852
49,3ee71aa1,1,194,205,11,baseline,35616,CHECK,CHECK_CALL,5.7669,25.7678,20.0009,20.6303
49,3ee71aa1,1,194,205,11,masked,26502,CALL,CHECK_CALL,-2.0940,23.1739,19.5011,16.6867
